Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name
AE,West_Bengal,17,1,2021,5,0,4,1,ADHIKARY PARESH CHANDRA,M,AITC,99338,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,49.98,no,14685,7.39,2.33,AEWB102177,,,TRUE,6,AIFB,,MEKLIGANJ,TRUE,FALSE,5,TRUE,FALSE,TRUE,68,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,2,DADHIRAM RAY,M,BJP,84653,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,42.59,no,77800,39.15,2.33,AEWB100207,,,TRUE,2,BJP,,MEKLIGANJ,TRUE,TRUE,0,FALSE,FALSE,TRUE,38,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,3,GOBINDA CHANDRA ROY,M,AIFB,6853,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,3.45,yes,4406,2.22,2.33,AEWB102301,,,TRUE,2,AIFB,,JALPAIGURI,FALSE,TRUE,0,FALSE,FALSE,FALSE,62,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,4,None Of The Above,,NOTA,2447,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,1.23,yes,679,0.34,2.33,,,,TRUE,,,,,,,,,FALSE,FALSE,,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,5,RANJIT KUMAR ROY,M,SUCI,1768,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.89,yes,743,0.37,2.33,DUMWB785,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,37,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,6,JYOTISH ROY,M,BSP,1025,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.52,yes,70,0.04,2.33,AEWB100208,,,TRUE,4,BSP,,MEKLIGANJ,TRUE,TRUE,0,FALSE,FALSE,TRUE,71,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,7,SUBHASH BARMAN,M,IND,955,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.48,yes,161,0.08,2.33,AEWB102180,,,TRUE,2,BJP,,MEKLIGANJ,TRUE,FALSE,0,FALSE,FALSE,FALSE,46,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,8,KUKIL ADHIKARY,M,Kamatapur People’s Party (United),794,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.4,yes,283,0.14,2.33,DUMWB636,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,36,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,9,GOLAPI ROY,F,IND,511,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.26,yes,111,0.06,2.33,AEWB100211,,,TRUE,2,IND,,MEKLIGANJ,TRUE,TRUE,0,FALSE,FALSE,TRUE,33,COOCH BEHAR
AE,West_Bengal,17,1,2021,5,0,4,10,CHINU ROY BARMAN,F,Amra Bangalee,400,,198744,227631,MEKLIGANJ,SC,JALPAIGURI DIVISION,9,87.31,0.2,yes,0,0,2.33,DUMWB733,,,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,31,COOCH BEHAR
